,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,[0 0 241 1 0.36730380632077198 0.0 0.0 1 0],[1 3 233 0 0.99999999999999978 0.0 0.0 28 0],[0 10 241 0 0.47502750495799162 0.10869565217391304 0.5 39 5],[1 12 233 0 0.99999999999999967 0.0 0.0 62 0],[0 16 241 0 0.47370610254306367 0.12307692307692308 0.5333333333333333 60 8],[0 0 233 1 0.2656044647459429 0.0 0.0 0 0],[0 0 233 1 0.14364457433492836 0.0 0.0 0 0],[0 1 233 0 0.26792989632616715 0.0 0.0 5 0],"[0 1 233 0 0.17339648162019577 0.004651162790697674 0.014925373134328358 5
 1]",[0 2 233 0 0.31227676706257945 0.0 0.0 7 0],[0 3 233 0 0.2068927046168399 0.004545454545454545 0.014925373134328358 8 1],[0 3 233 0 0.31872045351970524 0.0 0.0 9 0],"[0 6 233 0 0.26358337532093795 0.004424778761061947 0.014925373134328358 12
 1]",[0 4 233 0 0.34204883094663591 0.0 0.0 11 0],"[0 8 233 0 0.27731042315542809 0.004032258064516129 0.013513513513513514 15
 1]",[0 5 233 0 0.35054747517247314 0.0 0.0 12 0],"[0 9 233 0 0.27534426683870872 0.003968253968253968 0.013513513513513514 16
 1]",[0 6 233 0 0.34739563925436134 0.0 0.0 13 0],[0 10 233 0 0.27885395507654626 0.00390625 0.013513513513513514 17 1],[0 7 233 0 0.35933652977012587 0.0 0.0 14 0],"[0 11 233 0 0.29303334149819921 0.003875968992248062 0.013513513513513514
 18 1]",[0 8 233 0 0.39994579116528417 0.0 0.0 15 0],"[0 12 233 0 0.31286587729159759 0.0038461538461538464 0.013513513513513514
 19 1]",[0 9 233 0 0.40003435686298799 0.0 0.0 16 0],"[0 13 233 0 0.31494091774570648 0.003816793893129771 0.013513513513513514
 20 1]",[0 10 233 0 0.4006163502654731 0.0 0.0 17 0],"[0 14 233 0 0.31491507653594519 0.003787878787878788 0.013513513513513514
 21 1]",[0 11 233 0 0.40312647082163156 0.0 0.0 18 0],"[0 15 233 0 0.31491507653594519 0.0037593984962406013 0.013513513513513514
 22 1]",[0 12 233 0 0.40317600887867838 0.0 0.0 19 0],"[0 16 233 0 0.31847142176419857 0.0037313432835820895 0.013513513513513514
 23 1]",[0 13 233 0 0.40818181077294435 0.0 0.0 20 0],"[0 17 233 0 0.32388226360965972 0.003703703703703704 0.013513513513513514
 24 1]",[0 14 233 0 0.41453139540754447 0.0 0.0 21 0],"[0 18 233 0 0.33398610149587726 0.003676470588235294 0.013513513513513514
 25 1]",[0 15 233 0 0.42111263412010264 0.0 0.0 22 0],"[0 19 233 0 0.33378493830441874 0.0036496350364963502 0.013513513513513514
 26 1]"
1,[1 0 1461 1 0.23683766074972976 0.0 0.0 42 0],[1 1 367 0 1.0000000000000002 0.0 0.0 1 0],[0 0 367 1 0.39861425506600984 0.0 0.0 0 0],[1 50 367 0 1.0000000000000004 0.0 0.0 89 0],[0 2 366 0 0.30829438585687668 0.0 0.0 2 0],[1 87 367 0 0.99999999999999978 0.0 0.0 131 0],[0 3 366 0 0.33919479158012211 0.010256410256410256 0.02197802197802198 3 2],[1 91 367 0 1.0000000000000002 0.0 0.0 135 0],[0 6 366 0 0.36876859833945735 0.02 0.043010752688172046 6 4],[1 95 367 0 1.0 0.0 0.0 139 0],[0 8 366 0 0.44727919053013449 0.02843601895734597 0.061855670103092786 8 6],[1 101 367 0 1.0000000000000002 0.0 0.0 145 0],"[0 10 366 0 0.45884260040060376 0.04329004329004329 0.08928571428571429 10
 10]",[1 112 367 0 1.0000000000000007 0.0 0.0 156 0],"[0 14 366 0 0.52829604244622641 0.05439330543933055 0.11304347826086956 14
 13]",[1 117 367 0 1.0000000000000002 0.0 0.0 161 0],"[0 16 366 0 0.53846813097518276 0.06072874493927125 0.12605042016806722 16
 15]",[1 120 367 0 1.0000000000000002 0.0 0.0 164 0],"[0 18 366 0 0.56600073931775319 0.06772908366533864 0.14049586776859505 18
 17]",[1 122 367 0 1.0000000000000002 0.0 0.0 166 0],"[0 23 366 0 0.59116460881358346 0.07307692307692308 0.15447154471544716 23
 19]",[1 129 367 0 1.0000000000000002 0.0 0.0 173 0],"[0 32 366 0 0.61840598095992461 0.08664259927797834 0.18461538461538463 32
 24]",[1 135 367 0 0.99999999999999967 0.0 0.0 179 0],"[0 35 366 0 0.63015323127089462 0.0958904109589041 0.20437956204379562 35
 28]",[1 137 367 0 1.0 0.0 0.0 181 0],"[0 37 366 0 0.63539238348302118 0.09830508474576272 0.21014492753623187 37
 29]",[1 139 367 0 0.99999999999999978 0.0 0.0 183 0],"[0 39 366 0 0.65255989826463956 0.10666666666666667 0.22695035460992907 39
 32]",0,0,0,0,0,0,0,0
2,[1 0 1461 1 0.23683766074972976 0.0 0.0 42 0],[1 1 367 0 1.0000000000000002 0.0 0.0 1 0],[0 0 366 1 0.12614777843509836 0.0 0.0 0 0],[1 102 367 0 1.0 0.0 0.0 146 0],[0 9 366 0 0.4375120574214908 0.039301310043668124 0.08108108108108109 9 9],[1 111 367 0 1.0 0.0 0.0 155 0],"[0 12 366 0 0.49019425027372288 0.04291845493562232 0.08928571428571429 12
 10]",[1 114 367 0 1.0 0.0 0.0 158 0],[0 20 366 0 0.5689120386203167 0.0703125 0.14754098360655737 20 18],[1 127 367 0 1.0 0.0 0.0 171 0],"[0 29 366 0 0.61398856609101127 0.08455882352941177 0.17829457364341086 29
 23]",[1 130 367 0 0.99999999999999944 0.0 0.0 174 0],"[0 33 366 0 0.61543762030264137 0.08960573476702509 0.19083969465648856 33
 25]",[1 134 367 0 0.99999999999999989 0.0 0.0 178 0],"[0 36 366 0 0.63299794439122914 0.09556313993174062 0.20437956204379562 36
 28]",[1 140 367 0 1.0000000000000009 0.0 0.0 184 0],"[0 38 366 0 0.64394864964762422 0.10702341137123746 0.22695035460992907 38
 32]",[1 141 367 0 0.99999999999999944 0.0 0.0 185 0],"[0 41 366 0 0.65912462834046304 0.10891089108910891 0.2323943661971831 41
 33]",[1 145 367 0 1.0 0.0 0.0 189 0],"[0 46 366 0 0.69357683481573473 0.12140575079872204 0.2585034013605442 46
 38]",[1 148 367 0 1.0000000000000004 0.0 0.0 192 0],"[0 47 366 0 0.70500684804284597 0.12658227848101267 0.2684563758389262 47
 40]",[1 149 367 0 0.99999999999999989 0.0 0.0 193 0],"[0 51 366 0 0.73165310970018693 0.13043478260869565 0.2781456953642384 51
 42]",[1 153 367 0 1.0000000000000009 0.0 0.0 197 0],"[0 55 366 0 0.74361756678429414 0.13677811550151975 0.2922077922077922 55
 45]",0,0,0,0,0,0,0,0,0,0
3,[1 0 1461 1 0.23683766074972976 0.0 0.0 42 0],[1 1 367 0 1.0000000000000002 0.0 0.0 1 0],[1 1 1461 0 0.32032167721379812 0.14285714285714285 0.3333333333333333 49 1],[1 3 367 0 0.99999999999999978 0.0 0.0 9 0],[1 2 1461 0 0.342541804502215 0.14285714285714285 0.5 50 2],[1 6 367 0 1.0 0.0 0.0 13 0],[0 1 366 0 0.29935384996114472 0.0 0.0 1 0],[1 86 367 0 0.99999999999999989 0.0 0.0 130 0],[0 4 366 0 0.3371137853976145 0.01020408163265306 0.02197802197802198 4 2],[1 92 367 0 0.99999999999999978 0.0 0.0 136 0],"[0 5 366 0 0.36091501495467265 0.020100502512562814 0.043010752688172046 5
 4]",[1 94 367 0 1.0000000000000002 0.0 0.0 138 0],[0 7 366 0 0.39039535976536172 0.02857142857142857 0.061855670103092786 7 6],[1 100 367 0 1.0000000000000004 0.0 0.0 144 0],"[0 11 366 0 0.47945817260722956 0.04310344827586207 0.08928571428571429 11
 10]",[1 113 367 0 1.0000000000000002 0.0 0.0 157 0],[0 13 366 0 0.5084460189769141 0.0546218487394958 0.11304347826086956 13 13],[1 116 367 0 0.99999999999999978 0.0 0.0 160 0],"[0 15 366 0 0.54444059340959883 0.061224489795918366 0.1271186440677966 15
 15]",[1 119 367 0 0.99999999999999967 0.0 0.0 163 0],"[0 17 366 0 0.53491339780706548 0.0642570281124498 0.13333333333333333 17
 16]",[1 121 367 0 0.99999999999999978 0.0 0.0 165 0],"[0 19 366 0 0.56417586929339636 0.07058823529411765 0.14754098360655737 19
 18]",[1 125 367 0 1.0000000000000002 0.0 0.0 169 0],"[0 28 366 0 0.60975384701467517 0.07462686567164178 0.15873015873015872 28
 20]",[1 126 367 0 1.0000000000000007 0.0 0.0 170 0],"[0 30 366 0 0.61151030493751146 0.08394160583941605 0.17829457364341086 30
 23]",0,0,0,0,0,0,0,0,0,0
4,[0 0 1769 1 0.084730096975700886 0.0 0.0 0 0],[0 1 1769 0 0.063165865990671574 0.0 0.0 4 0],[0 3 1769 0 0.19301431630409388 0.09090909090909091 0.5 11 1],"[0 2 1769 0 0.16198369575944199 0.027777777777777776 0.08333333333333333 21
 1]",[0 12 1769 0 0.45924199230515367 0.1794871794871795 0.5833333333333334 50 7],"[0 16 1769 0 0.47235662558543878 0.1724137931034483 0.5555555555555556 61
 10]",[0 6 1831 0 0.24779491057645076 0.0 0.0 21 0],[0 18 1769 0 0.47432610335345038 0.15384615384615385 0.5 66 10],"[0 9 1831 0 0.30433479736866692 0.014285714285714285 0.047619047619047616
 26 1]","[0 10 1831 0 0.30883187544211821 0.013157894736842105 0.043478260869565216
 27 1]",[1 23 1769 0 1.0000000000000002 0.0 0.0 42 0],"[0 11 1831 0 0.31354437979036948 0.019230769230769232 0.06060606060606061
 28 2]",[1 33 1769 0 1.0 0.0 0.0 55 0],"[0 12 1831 0 0.32079493300775663 0.02830188679245283 0.08823529411764706 29
 3]",[1 34 1769 0 1.0000000000000004 0.0 0.0 56 0],"[0 13 1831 0 0.33828522185096688 0.04201680672268908 0.11627906976744186 30
 5]",[1 46 1769 0 0.99999999999999989 0.0 0.0 69 0],[0 14 1831 0 0.36967495840365133 0.047244094488188976 0.12 31 6],[1 50 1769 0 0.99999999999999978 0.0 0.0 73 0],"[0 15 1831 0 0.40105650368814316 0.05384615384615385 0.13725490196078433 32
 7]",[1 52 1769 0 1.0000000000000002 0.0 0.0 75 0],"[0 16 1831 0 0.41172716500302176 0.05925925925925926 0.1509433962264151 33
 8]",[1 53 1769 0 0.99999999999999978 0.0 0.0 76 0],"[0 17 1831 0 0.43376029141063932 0.06474820143884892 0.16363636363636364 34
 9]",[1 56 1769 0 0.99999999999999989 0.0 0.0 79 0],"[0 18 1831 0 0.44325256422294534 0.07042253521126761 0.17543859649122806 35
 10]",[1 57 1769 0 1.0 0.0 0.0 80 0],0,0,0,0,0,0,0,0,0,0
5,[1 0 1461 1 0.23683766074972976 0.0 0.0 42 0],[1 1 367 0 1.0000000000000002 0.0 0.0 1 0],[1 7 367 0 1.0 0.0 0.0 14 0],[1 13 367 0 1.0000000000000002 0.0 0.0 31 0],[1 15 367 0 1.0000000000000004 0.0 0.0 36 0],[1 17 367 0 1.0000000000000004 0.0 0.0 47 0],[1 53 367 0 1.0000000000000007 0.0 0.0 92 0],"[0 21 366 0 0.57910394000951249 0.07364341085271318 0.15447154471544716 21
 19]",[1 128 367 0 0.99999999999999944 0.0 0.0 172 0],"[0 31 366 0 0.61523012406715916 0.08695652173913043 0.18461538461538463 31
 24]",[1 136 367 0 0.99999999999999989 0.0 0.0 180 0],"[0 34 366 0 0.6206328672770236 0.09621993127147767 0.20437956204379562 34
 28]",[1 138 367 0 1.0000000000000004 0.0 0.0 182 0],"[0 40 366 0 0.65070958265885626 0.10631229235880399 0.22695035460992907 40
 32]",[1 142 367 0 0.99999999999999922 0.0 0.0 186 0],"[0 42 366 0 0.65948625683714168 0.11147540983606558 0.23776223776223776 42
 34]",[1 143 367 0 1.0000000000000002 0.0 0.0 187 0],"[0 43 366 0 0.66833545936764693 0.11400651465798045 0.24305555555555555 43
 35]",[1 144 367 0 1.0 0.0 0.0 188 0],"[0 44 366 0 0.67412016262841479 0.11650485436893204 0.2482758620689655 44
 36]",[1 146 367 0 0.99999999999999989 0.0 0.0 190 0],[0 45 366 0 0.6852201306921174 0.12179487179487179 0.2585034013605442 45 38],[1 147 367 0 0.99999999999999989 0.0 0.0 191 0],"[0 48 366 0 0.70617362673905804 0.12618296529968454 0.2684563758389262 48
 40]",[1 150 367 0 1.0 0.0 0.0 194 0],"[0 53 366 0 0.7335685754391722 0.13230769230769232 0.28289473684210525 53
 43]",0,0,0,0,0,0,0,0,0,0,0
6,[0 0 367 1 0.41004229652027802 0.0 0.0 0 0],[1 48 367 0 1.0000000000000002 0.0 0.0 87 0],[0 1 367 0 0.46391128505436396 0.00819672131147541 0.018518518518518517 1 1],[1 54 367 0 0.99999999999999989 0.0 0.0 95 0],[0 2 367 0 0.51366369028163905 0.014814814814814815 0.03225806451612903 2 2],[1 62 367 0 1.0000000000000004 0.0 0.0 105 0],[0 3 367 0 0.51349990673750401 0.02158273381294964 0.046875 3 3],[1 64 367 0 0.99999999999999978 0.0 0.0 107 0],[0 4 367 0 0.51681234129850862 0.027777777777777776 0.06060606060606061 4 4],[1 68 367 0 0.99999999999999967 0.0 0.0 111 0],[0 5 367 0 0.53238743998782045 0.03289473684210526 0.07142857142857142 5 5],[1 71 367 0 1.0 0.0 0.0 114 0],[0 6 367 0 0.53091538551040007 0.03870967741935484 0.08333333333333333 6 6],[1 72 367 0 0.99999999999999967 0.0 0.0 115 0],[0 7 367 0 0.50923939019707698 0.04430379746835443 0.0958904109589041 7 7],[1 74 367 0 0.99999999999999944 0.0 0.0 117 0],[0 8 367 0 0.53887966850888858 0.045454545454545456 0.0975609756097561 8 8],[1 84 367 0 0.99999999999999967 0.0 0.0 128 0],[0 9 367 0 0.56350942639746526 0.046875 0.10112359550561797 9 9],[1 90 367 0 1.0000000000000002 0.0 0.0 134 0],"[0 10 367 0 0.57240276932573586 0.04926108374384237 0.10752688172043011 10
 10]",[1 93 367 0 1.0 0.0 0.0 137 0],"[0 11 367 0 0.5599435127943545 0.05365853658536585 0.11702127659574468 11
 11]",[1 98 367 0 0.99999999999999978 0.0 0.0 142 0],"[0 12 367 0 0.57709693546735807 0.04395604395604396 0.09302325581395349 12
 12]",0,0,0,0,0,0,0,0,0,0,0,0
7,[0 0 367 1 0.35190032274837135 0.0 0.0 0 0],[1 11 367 0 1.0000000000000002 0.0 0.0 22 0],[0 1 367 0 0.43082727858847242 0.024390243902439025 0.06666666666666667 8 1],[1 16 367 0 1.0000000000000002 0.0 0.0 40 0],[0 0 366 1 0.060234315965914109 0.0 0.0 0 0],[1 44 367 0 1.0000000000000002 0.0 0.0 81 0],"[0 1 366 0 0.17064607337700219 0.008695652173913044 0.020833333333333332 2
 1]",[1 51 367 0 1.0000000000000004 0.0 0.0 90 0],[0 2 366 0 0.2184259510184868 0.016260162601626018 0.037037037037037035 3 2],[1 55 367 0 1.0000000000000004 0.0 0.0 96 0],[0 3 366 0 0.20828980044949605 0.023622047244094488 0.05263157894736842 4 3],[1 59 367 0 1.0 0.0 0.0 102 0],[0 4 366 0 0.2017429266620159 0.030534351145038167 0.06666666666666667 5 4],[1 60 367 0 1.0 0.0 0.0 103 0],[0 5 366 0 0.24563704908301101 0.03759398496240601 0.08196721311475409 6 5],[1 61 367 0 1.0 0.0 0.0 104 0],[0 6 366 0 0.26477051475322133 0.043795620437956206 0.09523809523809523 7 6],[1 63 367 0 1.0000000000000004 0.0 0.0 106 0],[0 7 366 0 0.27061780388736634 0.05 0.109375 8 7],[1 65 367 0 1.0000000000000002 0.0 0.0 108 0],[0 8 366 0 0.27335179028007589 0.055944055944055944 0.12121212121212122 9 8],[1 67 367 0 1.0000000000000011 0.0 0.0 110 0],[0 9 366 0 0.28200635247965111 0.04918032786885246 0.10975609756097561 10 9],[1 89 367 0 0.99999999999999967 0.0 0.0 133 0],0,0,0,0,0,0,0,0,0,0,0,0,0
8,[0 0 1836 1 0.1212990389063919 0.0 0 0 0],[0 0 1835 1 0.098276256745151253 0.0 0 0 0],[0 1 1836 0 0.12097947654942637 0.0 0 2 0],[0 1 1835 0 0.086282324961049844 0.0 0 2 0],[0 2 1836 0 0.11640258378937617 0.0 0 4 0],[0 2 1835 0 0.099807098675069386 0.0 0 4 0],[0 3 1836 0 0.11454403024405131 0.0 0 5 0],[0 3 1835 0 0.097525529199712357 0.0 0 5 0],[0 4 1836 0 0.11310204924002906 0.0 0 6 0],[0 4 1835 0 0.097352386150608858 0.0 0 6 0],[0 5 1836 0 0.12285552529178843 0.0 0 7 0],[0 5 1835 0 0.1182037229838109 0.0 0 7 0],[0 6 1836 0 0.11987527789899875 0.0 0 8 0],[0 6 1835 0 0.12033614331057436 0.0 0 8 0],[0 7 1836 0 0.12347238489782983 0.0 0 9 0],[0 7 1835 0 0.11929552895263874 0.0 0 9 0],[0 8 1836 0 0.12329826842675844 0.0 0 10 0],[0 8 1835 0 0.13673079728093945 0.0 0 10 0],[0 9 1836 0 0.12227264136944374 0.0 0 11 0],[0 0 1834 1 0.07049834367273411 0.0 0 0 0],[0 10 1836 0 0.12033131836824834 0.0 0 12 0],[0 1 1834 0 0.046426354974576506 0.0 0 1 0],[0 11 1836 0 0.12156210610725932 0.0 0 13 0],0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,[0 0 1461 1 0.19462907545125477 0.0 0.0 0 0],[1 72 1461 0 1.0 0.0 0.0 174 0],"[0 1 1461 0 0.3501567742418164 0.006535947712418301 0.012658227848101266 2
 1]",[1 81 1461 0 0.99999999999999978 0.0 0.0 185 0],"[0 2 1461 0 0.51187539615679856 0.011904761904761904 0.023809523809523808 4
 2]",[1 90 1461 0 0.99999999999999989 0.0 0.0 195 0],[1 92 1461 0 1.0 0.0 0.0 198 0],[1 94 1461 0 0.99999999999999989 0.0 0.0 200 0],[0 4 1461 0 0.56767523958324539 0.019417475728155338 0.04 7 4],[1 107 1461 0 1.0000000000000004 0.0 0.0 213 0],"[0 7 1461 0 0.5803405434621588 0.021739130434782608 0.046296296296296294 10
 5]",[1 109 1461 0 0.99999999999999989 0.0 0.0 215 0],"[0 8 1461 0 0.58178312987352854 0.029661016949152543 0.06306306306306306 11
 7]",[1 112 1461 0 1.0000000000000002 0.0 0.0 218 0],"[0 10 1461 0 0.59007905081849366 0.037037037037037035 0.0782608695652174 13
 9]",[1 115 1461 0 1.0 0.0 0.0 221 0],"[0 12 1461 0 0.59217132909427372 0.04435483870967742 0.09401709401709402 15
 11]",[1 119 1461 0 1.0000000000000002 0.0 0.0 225 0],[0 13 1461 0 0.5942640036179746 0.047058823529411764 0.1 16 12],[1 121 1461 0 1.0000000000000007 0.0 0.0 227 0],"[0 14 1461 0 0.59272095043381223 0.050387596899224806 0.10655737704918032
 17 13]",[1 122 1461 0 0.99999999999999989 0.0 0.0 228 0],"[0 15 1461 0 0.59795047757254216 0.05384615384615385 0.11382113821138211 18
 14]",0,0,0,0,0,0,0,0,0,0,0,0,0,0
